id,label
1,truck
2,bird
3,automobile
4,ship
5,airplane
6,cat
7,airplane
8,cat
9,cat
10,horse
11,bird
12,cat
13,cat
14,cat
15,dog
16,cat
17,dog
18,bird
19,airplane
20,bird
21,airplane
22,ship
23,frog
24,automobile
25,frog
26,truck
27,automobile
28,cat
29,cat
30,cat
31,cat
32,horse
33,dog
34,airplane
35,deer
36,cat
37,cat
38,cat
39,ship
40,bird
41,cat
42,bird
43,cat
44,deer
45,airplane
46,automobile
47,cat
48,cat
49,airplane
50,truck
51,bird
52,horse
53,cat
54,frog
55,ship
56,ship
57,cat
58,airplane
59,airplane
60,dog
61,bird
62,cat
63,deer
64,frog
65,ship
66,truck
67,ship
68,airplane
69,cat
70,deer
71,truck
72,bird
73,truck
74,cat
75,cat
76,horse
77,airplane
78,cat
79,deer
80,cat
81,bird
82,deer
83,ship
84,bird
85,cat
86,cat
87,dog
88,cat
89,deer
90,airplane
91,cat
92,airplane
93,frog
94,deer
95,automobile
96,frog
97,cat
98,bird
99,truck
100,bird
101,bird
102,deer
103,cat
104,cat
105,ship
106,airplane
107,automobile
108,cat
109,bird
110,cat
111,horse
112,bird
113,deer
114,airplane
115,truck
116,horse
117,truck
118,horse
119,airplane
120,cat
121,cat
122,truck
123,horse
124,bird
125,cat
126,dog
127,airplane
128,dog
129,cat
130,automobile
131,airplane
132,automobile
133,cat
134,truck
135,automobile
136,cat
137,cat
138,frog
139,bird
140,automobile
141,cat
142,dog
143,cat
144,deer
145,cat
146,truck
147,frog
148,automobile
149,cat
150,frog
151,airplane
152,dog
153,dog
154,ship
155,truck
156,horse
157,airplane
158,ship
159,truck
160,deer
161,cat
162,cat
163,automobile
164,cat
165,frog
166,automobile
167,frog
168,cat
169,cat
170,frog
171,bird
172,cat
173,cat
174,frog
175,deer
176,bird
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,cat
185,bird
186,dog
187,ship
188,cat
189,cat
190,airplane
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,bird
201,cat
202,cat
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,bird
209,bird
210,cat
211,automobile
212,horse
213,truck
214,frog
215,cat
216,cat
217,dog
218,bird
219,cat
220,frog
221,frog
222,airplane
223,dog
224,deer
225,ship
226,deer
227,horse
228,cat
229,horse
230,cat
231,frog
232,bird
233,deer
234,deer
235,bird
236,frog
237,deer
238,deer
239,truck
240,airplane
241,cat
242,cat
243,cat
244,cat
245,horse
246,horse
247,cat
248,truck
249,cat
250,ship
251,cat
252,airplane
253,frog
254,airplane
255,frog
256,deer
257,cat
258,ship
259,cat
260,airplane
261,bird
262,truck
263,horse
264,frog
265,frog
266,deer
267,cat
268,bird
269,horse
270,automobile
271,cat
272,airplane
273,dog
274,cat
275,horse
276,cat
277,frog
278,horse
279,cat
280,deer
281,cat
282,bird
283,cat
284,horse
285,deer
286,cat
287,ship
288,truck
289,cat
290,bird
291,automobile
292,deer
293,airplane
294,bird
295,cat
296,bird
297,cat
298,cat
299,ship
300,truck
301,cat
302,bird
303,frog
304,dog
305,cat
306,automobile
307,airplane
308,dog
309,cat
310,bird
311,automobile
312,frog
313,deer
314,truck
315,truck
316,cat
317,cat
318,cat
319,dog
320,frog
321,automobile
322,horse
323,ship
324,dog
325,horse
326,cat
327,cat
328,dog
329,ship
330,truck
331,frog
332,cat
333,bird
334,bird
335,frog
336,deer
337,dog
338,frog
339,airplane
340,ship
341,ship
342,frog
343,ship
344,bird
345,ship
346,cat
347,ship
348,dog
349,cat
350,truck
351,bird
352,truck
353,bird
354,airplane
355,airplane
356,cat
357,airplane
358,frog
